name,country,country_code,city,address,latitude,longitude,parent_group,website,founded_year,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,reporting_year,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,featured
Sparkasse Altenburger Land,Germany,DE,Altenburg,,50.9852411,12.4340988,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Amberg-Sulzbach,Germany,DE,Amberg,,49.4543662,11.8474021,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Erzgebirgssparkasse,Germany,DE,Annaberg-Buchholz,,50.5788781,13.0106108,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Ansbach,Germany,DE,Ansbach,,49.2888745,10.5597693,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Aschaffenburg Miltenberg,Germany,DE,Aschaffenburg/Miltenberg,,49.9794964,9.145168,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Attendorn-Lennestadt-Kirchhundem,Germany,DE,Attendorn,,51.1250541,7.9010992,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Stadtsparkasse Augsburg,Germany,DE,Augsburg,,48.3690341,10.8979522,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Aurich-Norden,Germany,DE,Aurich/Norden,,53.6270653,7.1629737,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Rhein-Haardt,Germany,DE,Bad Dürkheim,,49.4632944,8.1705063,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Bad Hersfeld-Rotenburg,Germany,DE,Bad Hersfeld,,50.8604177,9.6767709,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Taunus Sparkasse,Germany,DE,Bad Homburg vor der Höhe,,50.2283803,8.6130128,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Bad Kissingen,Germany,DE,Bad Kissingen,,50.1999412,10.0767379,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Rhein-Nahe,Germany,DE,Bad Kreuznach,,49.8152421,7.9123692,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Westerwald-Sieg,Germany,DE,Bad Marienberg,,50.6500761,7.948217,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Ahrweiler,Germany,DE,Bad Neuenahr-Ahrweiler,,50.5444551,7.1186671,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Bad Neustadt a. d. Saale,Germany,DE,Bad Neustadt an der Saale,,50.322637,10.2164873,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Bad Oeynhausen - Porta Westfalica,Germany,DE,Bad Oeynhausen,,52.2014399,8.7981244,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Holstein,Germany,DE,Bad Oldesloe,,53.8096562,10.3733692,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Stadtsparkasse Bad Pyrmont,Germany,DE,Bad Pyrmont,,51.9850503,9.2434635,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Berchtesgadener Land,Germany,DE,Bad Reichenhall,,47.7222676,12.8760923,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Bad Tölz-Wolfratshausen,Germany,DE,Bad Tölz,,47.7610013,11.559607,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Baden-Baden Gaggenau,Germany,DE,Baden-Baden,,48.7610716,8.239959,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Ostsächsische Sparkasse Dresden,Germany,DE,Dresden,,51.0493286,13.7381437,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Dortmund,Germany,DE,Dortmund,,51.5142273,7.4652789,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Duisburg,Germany,DE,Duisburg,,51.434999,6.759562,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Stadtsparkasse Düsseldorf,Germany,DE,Düsseldorf,,51.2254018,6.7763137,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Düsseldorf,Germany,DE,Düsseldorf,,51.2254018,6.7763137,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Oder-Spree,Germany,DE,Frankfurt (Oder),,52.3412273,14.549452,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Mittelsachsen,Germany,DE,Freiberg,,50.9169415,13.3428889,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Freiburg-Nördlicher Breisgau,Germany,DE,Freiburg im Breisgau,,47.9960901,7.8494005,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Freising Moosburg,Germany,DE,Freising,,48.4008273,11.7439565,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Freudenstadt,Germany,DE,Freudenstadt,,48.4637727,8.4111727,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Oberhessen,Germany,DE,Friedberg (Hessen),,50.328272,8.747636,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Fulda,Germany,DE,Fulda,,50.5542328,9.6770448,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Fürth,Germany,DE,Fürth,,49.4885711,10.9587203,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Gelsenkirchen,Germany,DE,Gelsenkirchen,,51.5110321,7.0960124,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse an Ennepe und Ruhr,Germany,DE,Gevelsberg,,51.3207417,7.3404792,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Kaiserslautern,Germany,DE,Kaiserslautern,,49.4432174,7.7689951,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Karlsruhe,Germany,DE,Karlsruhe,,49.0068705,8.4034195,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kasseler Sparkasse,Germany,DE,Kassel,,51.3157833,9.4978479,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Förde Sparkasse,Germany,DE,Kiel,,54.3227085,10.135555,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Köln,Germany,DE,Köln,,50.938361,6.959974,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse KölnBonn,Germany,DE,Köln,,50.938361,6.959974,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Krefeld,Germany,DE,Krefeld,,51.3331205,6.5623343,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Leverkusen,Germany,DE,Leverkusen,,51.0324743,6.9881194,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Limburg,Germany,DE,Limburg an der Lahn,,50.3880447,8.063531,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Lörrach-Rheinfelden,Germany,DE,Lörrach,,47.6120896,7.6607218,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Ludwigsburg,Germany,DE,Ludwigsburg,,48.8953937,9.1895147,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Lüneburg,Germany,DE,Lüneburg,,53.248706,10.407855,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Magdeburg,Germany,DE,Magdeburg,,52.1314783,11.6400789,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Rheinhessen Sparkasse,Germany,DE,Mainz,,49.9995205,8.2736253,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Rhein Neckar Nord,Germany,DE,Mannheim,,49.4892913,8.4673098,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
